"","Accession","Species","FirstColorDate","PeakColorDate","FirstDropDate","PeakDropDate","PercDropped"
"1","1038-80*A","Liriodendron tulipifera","0014-09-16","0014-11-04","0014-09-16","0014-11-04","94"
"2","945-63*A","Tilia japonica","0014-09-16","0014-11-04","0014-09-16","0014-11-11","94"
"3","7544*E","Phell. amur. var. lavallei","0014-09-16","0014-10-07","0014-09-16","0014-10-14","100"
"4","925-79*B","Aesculus flava","0014-09-16","0014-10-29","0014-09-16","0014-11-11","100"
"5","3699*D","Tilia japonica","0014-09-16","0014-11-04","0014-09-16","0014-11-11","100"
"6","19804*A","Tilia americana","0014-09-16","0014-11-11","0014-09-16","0014-11-04","74"
"7","10724*B","Phell. amur. var. lavallei","0014-09-16","0014-11-11","0014-09-16","0014-11-11","74"
"8","181-79*A","Phellod. amurense","0014-09-16","0014-11-11","0014-09-16","0014-11-04","49"
"9","1769-77*A","Phellod. amurense","0014-09-16","0014-11-11","0014-09-16","0014-11-11","94"
"10","7544*C","Phell. amur. var. lavallei","0014-09-16","0014-10-29","0014-09-16","0014-10-29","100"
"11","7544*B","Phell. amur. var. lavallei","0014-09-16","0014-10-29","0014-09-16","0014-10-29","100"
"12","772-53*A","Tilia japonica","0014-09-16","0014-10-29","0014-09-16","0014-11-11","100"
"13","814-62*A","Met. glyptostroboides","0014-10-07","0014-10-07","0014-10-21","0014-11-04","24"
"14","814-62*D","Met. glyptostroboides","0014-09-30","0014-11-11","0014-09-30","0014-11-04","24"
"15","815-62*B","Met. glyptostroboides","0014-10-21","0014-11-04","0014-10-21","0014-11-04","24"
"16","815-62*C","Met. glyptostroboides","0014-10-21","0014-11-04","0014-10-21","0014-11-04","24"
"17","524-48*DD","Met. glyptostroboides","0014-09-16","0014-09-30","0014-09-30","0014-11-04","24"
"18","12651*C","Aesculus flava","0014-09-16","0014-10-21","0014-09-16","0014-10-21","100"
"19","12651*H","Aesculus flava","0014-09-16","0014-10-14","0014-09-16","0014-10-21","100"
"20","12651*D","Aesculus flava","0014-09-16","0014-10-14","0014-09-16","0014-10-21","100"
"21","1581-77*F","Quercus variabilis","0014-10-14","0014-10-14","0014-10-14","0014-10-14","49"
"22","1539-80*C","Sorbus yuana","0014-09-30","0014-11-11","0014-10-07","0014-10-29","74"
