AccNum,LeafIDNum,leafbag_mass_mg,bag_mass_mg,leaf_mass_mg,leaf_wet_area
1664-81*B,1,1880,1842,38,1.773
1664-81*B,2,1852,1813,39,1.697
1664-81*B,3,1862,1825,37,1.553
1664-81*B,4,1849,1805,44,1.917
1664-81*B,5,1869,1823,46,1.827
779-65*A,1,1897,1865,32,1.375
779-65*A,2,1907,1873,34,1.405
779-65*A,3,1887,1859,28,1.179
779-65*A,4,1897,1860,37,1.482
779-65*A,5,1903,1871,32,1.07
827-27*B,1,1440,1417,23,1.455
827-27*B,2,1440,1416,24,1.661
827-27*B,3,1426,1397,29,1.604
827-27*B,4,1423,1396,27,1.407
827-27*B,5,1474,1450,24,1.487
521-28*A,1,1460,1432,28,2.44
521-28*A,2,1459,1434,25,2.395
521-28*A,3,1444,1427,17,1.766
521-28*A,4,1434,1416,18,1.62
521-28*A,5,1453,1434,19,1.932
827-27*A,1,1935,1898,37,2.428
827-27*A,2,1942,1903,39,2.49
827-27*A,3,1933,1895,38,2.517
827-27*A,4,1945,1889,56,3.102
827-27*A,5,1881,1831,50,3.051
12651*I,1,5565,2463,3102,453.717
12651*I,2,3207,2456,751,124.858
12651*I,3,3609,2491,1118,209.906
12651*I,4,3583,2436,1147,205.396
12651*I,5,3654,2449,1205,236.169
12651*C,1,3569,2450,1119,189.462
12651*C,2,3273,2438,835,140.215
12651*C,3,4025,2437,1588,246.655
12651*C,4,3626,2430,1196,205.184
12651*C,5,4496,2466,2030,314.053
12651*H,1,3190,2450,740,118.461
12651*H,2,2976,2464,512,85.325
12651*H,3,3186,2426,760,123.278
12651*H,4,4049,2430,1619,219.492
12651*H,5,3673,2440,1233,169.271
12651*D,1,3161,2435,726,135.59
12651*D,2,3946,2462,1484,223.155
12651*D,3,4385,2453,1932,246.146
12651*D,4,3393,2450,943,126.11
12651*D,5,3554,2475,1079,164.657
925-79*B,1,4752,2496,2256,332.058
925-79*B,2,5399,2463,2936,425.65
925-79*B,3,7825,4590,3235,475.602
925-79*B,4,4766,2478,2288,355.565
925-79*B,5,4531,2495,2036,274.352
12843*D,3,2621,2482,139,31.438
