Species,AccessionNumber,WaterDisplaced_mg,TwigVolume_cm3,DateProcessed,Name,Twig+Envelope_mg,Envelope_mg,TwigDryMass_mg,DateProcessed,Name,,,,,,,,,,,,,,,,,,,
ABINOR,779-65*A,2831,2.831,7/29/15,Silvia,3150,1880,1270,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
ABINOR,1664-81*B,2727,2.727,7/29/15,Silvia,3100,1870,1230,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
ABIxBOR,827-27*A,1654,1.654,7/28/15,Silvia,2570,1840,730,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
ABIxBOR,827-27*B,6218,6.218,7/28/15,Silvia,5030,1850,3180,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
ABIxBOR,521-28*A,5095,5.095,7/28/15,Silvia,4480,1790,2690,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
AESFLA,925-79*B,427,0.427,7/17/15,Sally,1480,1360,120,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
AESFLA,12651*D,927,0.927,7/17/15,Sally,1710,1370,340,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
AESFLA,12651*C,703,0.703,7/17/15,Sally,1670,1380,290,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
AESFLA,12651*I,1258,1.258,7/17/15,Sally,2350,1870,480,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
BETALL,12843*C,2177,2.177,7/28/15,Silvia,2920,1820,1100,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
BETALL,12843*A,1088,1.088,7/21/15,Sally,1970,1380,590,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
BETALL,12843*D,1272,1.272,7/21/15,Sally,2030,1370,660,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
BETALL,12843*H,1123,1.123,7/21/15,Sally,1910,1380,530,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
BETALL,12843*E,1329,1.329,7/21/15,Sally,2110,1370,740,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
BETNIG,1199*J,2198,2.198,7/21/15,Sally,2460,1360,1100,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
BETNIG,1251-79*B,1281,1.281,7/21/15,Sally,1990,1370,620,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
BETNIG,1251-79*A,1610,1.61,7/21/15,Sally,2140,1330,810,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
BETNIG,1199*D,1827,1.827,7/21/15,Sally,2330,1370,960,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
CALDEC,292-80*A,1784,1.784,7/29/15,Silvia,2750,1870,880,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
CALDEC,4000*A,4673,4.673,9/16/15,Sally,4130,1840,2290,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
CALDEC,4000*D,4559,4.559,9/16/15,Sally,4610,1820,2790,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
CALDEC,224-49*A,4735,4.735,9/18/15,Sally,4000,1860,2140,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
