ACC_NUM,NAME,LOC,Col_lvs_perc05,Col_lvs_perc06,Col_lvs_perc07,Col_lvs_perc08,Col_lvs_perc09,Col_lvs_perc10,Col_lvs_perc11,Col_lvs_perc12,Col_lvs_perc13,Col_lvs05,Col_lvs06,Col_lvs07,Col_lvs08,Col_lvs09,Col_lvs10,Col_lvs11,Col_lvs12,Col_lvs13,Comments05,Comments06,Comments07,Comments08,Comments09,Comments10,Comments11,Comments12,Comments13,Date05,Date06,Date07,Date08,Date09,Date10,Date11,Date12,Date13,Fall_lvs_perc05,Fall_lvs_perc06,Fall_lvs_perc07,Fall_lvs_perc08,Fall_lvs_perc09,Fall_lvs_perc10,Fall_lvs_perc11,Fall_lvs_perc12,Fall_lvs_perc13,Fall_lvs05,Fall_lvs06,Fall_lvs07,Fall_lvs08,Fall_lvs09,Fall_lvs10,Fall_lvs11,Fall_lvs12,Fall_lvs13
1038-80*A,Liriodendron tulipifera,2-SE,0,24,49,49,24,74,,100,100,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,0,24,,94,74,Y,Y,Y,Y,Y,Y,,Y,Y
945-63*A,Tilia japonica,7-SW,0,0,24,0,24,24,94,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,0,24,24,49,74,94,Y,Y,Y,Y,Y,Y,Y,Y,Y
7544*E,Phell. amur. var. lavallei,10-NW,0,49,94,100,100,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,24,24,49,94,100,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
925-79*B,Aesculus flava,10-NE,24,24,49,24,49,74,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,24,24,24,24,24,49,74,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
3699*D,Tilia japonica,7-SE,24,49,24,0,24,49,94,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,24,24,0,0,24,24,49,74,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
19804*A,Tilia americana,7-SE,0,49,49,49,49,74,94,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,24,24,24,49,74,74,Y,Y,Y,Y,Y,Y,Y,Y,Y
10724*B,Phell. amur. var. lavallei,7-SE,0,0,0,0,24,24,24,24,49,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,0,0,24,24,74,Y,N,Y,Y,Y,Y,Y,Y,Y
181-79*A,Phellod. amurense,7-SE,0,0,0,0,0,24,94,74,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,0,0,24,49,49,Y,N,Y,Y,Y,Y,Y,Y,Y
1769-77*A,Phellod. amurense,7-SE,0,0,0,0,49,49,74,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,24,24,74,74,94,Y,Y,Y,Y,Y,Y,Y,Y,Y
7544*C,Phell. amur. var. lavallei,7-SE,0,0,24,24,74,94,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,24,74,100,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
7544*B,Phell. amur. var. lavallei,5-SW,24,24,24,49,94,94,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,24,0,0,24,49,94,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
772-53*A,Tilia japonica,4-SE,0,24,0,0,49,74,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,24,49,74,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
814-62*A,Met. glyptostroboides,3-NE,0,0,0,24,24,24,,24,24,N,N,N,Y,Y,Y,Y,Y,Y,,,,,,,no data shown on paper,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,0,0,,24,24,N,N,N,N,N,Y,Y,Y,Y
814-62*D,Met. glyptostroboides,3-NE,0,0,24,24,24,24,,24,49,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,no data shown on paper,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,0,0,,24,24,N,N,Y,N,Y,Y,Y,Y,Y
815-62*B,Met. glyptostroboides,3-NE,0,0,0,0,0,0,,24,24,N,N,N,N,N,Y,Y,Y,Y,,,,,,,no data shown on paper,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,0,0,,24,24,N,N,N,N,N,Y,Y,Y,Y
815-62*C,Met. glyptostroboides,3-NE,0,0,0,0,0,0,,24,24,N,N,N,N,N,Y,Y,Y,Y,,,,,,,no data shown on paper,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,0,0,,24,24,N,N,N,N,N,Y,Y,Y,Y
524-48*DD,Met. glyptostroboides,3-SE,0,0,24,0,24,24,,24,24,Y,N,Y,N,Y,Y,Y,Y,Y,,,,,,,no data shown on paper,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,0,0,,24,24,N,N,Y,N,Y,Y,Y,Y,Y
12651*C,Aesculus flava,11-NW,0,24,74,94,24,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,24,49,74,0,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
12651*H,Aesculus flava,11-NW,24,49,74,94,100,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,24,24,49,74,94,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
12651*D,Aesculus flava,11-SW,0,24,49,24,100,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,0,94,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
1581-77*F,Quercus variabilis,15-SE,0,0,0,0,74,0,,24,49,N,N,N,N,Y,Y,Y,Y,Y,,,,,,,no data shown on paper,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,49,0,,0,24,N,N,N,N,Y,Y,Y,Y,Y
1539-80*C,Sorbus yuana,BR-16-SE,0,0,0,0,0,74,49,94,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,0,49,74,49,74,N,N,N,Y,Y,Y,Y,Y,Y
1894-80*C,Sorbus yuana,BR-8,0,0,24,24,0,74,94,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Temperature sensors,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,0,49,74,74,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
1894-80*D,Sorbus yuana,BR-8,0,0,0,24,49,100,94,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,24,100,100,94,100,Y,N,Y,Y,Y,Y,Y,Y,Y
1539-80*B,Sorbus yuana,22-NW,0,24,49,74,49,49,100,100,94,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,24,49,24,74,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
13218*A,Gleditsia triacanthos,21-NE,0,24,24,24,100,74,94,94,24,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,24,49,24,94,94,Y,Y,Y,Y,Y,Y,Y,Y,Y
12221*A,Styph. japonicum,15-SW,0,0,0,24,49,24,24,24,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,0,0,24,24,24,Y,Y,Y,Y,Y,Y,Y,Y,Y
20101*A,Carya glabra,14-NE,0,0,0,0,24,49,100,100,100,Y,N,N,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,0,0,0,24,49,49,N,N,N,Y,Y,Y,Y,Y,Y
1199*J,Betula nigra,13-NE,0,49,24,24,0,24,94,74,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,24,0,24,49,24,74,74,94,Y,Y,Y,Y,Y,Y,Y,Y,Y
1199*D,Betula nigra,13-SE,0,49,49,24,49,24,74,74,74,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,24,24,24,49,24,49,74,74,Y,Y,Y,Y,Y,Y,Y,Y,Y
1251-79*A,Betula nigra,13-SE,0,24,24,24,49,24,24,24,94,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,24,24,24,24,24,49,N,Y,Y,Y,Y,Y,Y,Y,Y
1251-79*B,Betula nigra,13-SE,0,24,49,49,24,49,74,74,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,49,24,49,49,74,74,N,Y,Y,Y,Y,Y,Y,Y,Y
12843*A,Betula alleghaniensis,14-SW,0,24,49,74,24,94,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,24,49,74,94,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
12843*C,Betula alleghaniensis,14-SW,0,24,49,49,74,94,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,24,49,74,94,100,100,N,Y,Y,Y,Y,Y,Y,Y,Y
12843*D,Betula alleghaniensis,14-SW,0,24,49,74,74,94,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,24,49,74,94,100,100,N,Y,Y,Y,Y,Y,Y,Y,Y
12843*E,Betula alleghaniensis,14-SW,0,24,49,74,49,74,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,24,24,49,74,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
12843*H,Betula alleghaniensis,14-SW,0,0,24,24,24,49,100,100,100,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,24,24,24,24,74,100,N,Y,Y,Y,Y,Y,Y,Y,Y
1813-77*A,Zelkova serrata,20-NW,0,24,49,49,24,74,74,74,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,24,24,49,74,49,74,N,Y,Y,Y,Y,Y,Y,Y,Y
1813-77*B,Zelkova serrata,20-NW,0,0,0,24,24,24,49,74,94,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Temperature sensor,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,24,0,24,24,49,49,N,N,Y,Y,Y,Y,Y,Y,Y
1813-77*C,Zelkova serrata,20-NW,24,24,49,24,49,49,74,74,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,24,0,24,24,24,49,49,74,74,Y,Y,Y,Y,Y,Y,Y,Y,Y
1813-77*D,Zelkova serrata,20-NW,0,24,24,49,49,49,74,74,94,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,24,24,49,49,74,74,Y,Y,Y,Y,Y,Y,Y,Y,Y
1813-77*E,Zelkova serrata,20-NW,0,0,24,24,24,49,49,74,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,0,24,24,24,49,49,49,N,N,Y,Y,Y,Y,Y,Y,Y
1813-77*F,Zelkova serrata,20-NW,0,24,49,49,49,74,74,74,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,0,24,24,24,49,24,74,74,N,Y,Y,Y,Y,Y,Y,Y,Y
629-83*D,Betula alleghaniensis,20-NW,0,49,49,74,74,94,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,0,24,24,74,49,74,49,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
1265-79*E,Fraxinus mandshurica,20-NW,0,24,24,49,100,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/16/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/4/14,11/11/14,24,24,24,49,49,94,94,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
