accession_no,genus,species,var_ssp,priority,loc,leaves,height1,height2,leaves_date,leaves_person,twigs_date,twigs_person,notes
12651*C,Aesculus,flava,,1,11-NW,Y,47.63,50.43,6/29/15,"Silvia, Sally",7/14/15,Sally,
12651*D,Aesculus,flava,,1,11-SW,Y,59.15,58.62,6/29/15,"Silvia, Sally",7/14/15,Sally,
12651*H,Aesculus,flava,,1,11-NW,Y,58.04,59.07,6/29/15,"Silvia, Sally",9/14/15,"Sally,John",need ladder to reach twigs
12651*I,Aesculus,flava,,1,57-NE,Y,55.48,43.86,6/25/15,"Silvia, Ailene",8/2/15,Sally,
925-79*B,Aesculus,flava,,1,10-NE,Y,,,6/29/15,"Silvia, Sally",7/14/15,Sally,
12843*A,Betula,alleghaniensis,,1,14-SW,Y,49.9,48.52,6/15/15,"Silvia, Ailene, Sally",7/20/15,Sally,
12843*C,Betula,alleghaniensis,,1,14-SW,N,53.18,,7/27/15,"silvia, John",7/27/15,"silvia, John",top unclear
12843*D,Betula,alleghaniensis,,1,14-SW,Y,51.53,57.17,6/16/15,"Silvia, Ailene, Sally",7/20/15,Sally,
12843*E,Betula,alleghaniensis,,1,14-SW,Y,40.6,47.6,6/15/15,"Silvia, Ailene, Sally",7/20/15,Sally,
12843*H,Betula,alleghaniensis,,1,14-SW,Y,49.32,47.09,6/15/15,"Silvia, Ailene, Sally",7/20/15,Sally,
629-83*D,Betula,alleghaniensis,,1,20-NW,Y,28.2,33.17,6/15/15,"Silvia, Ailene, Sally",7/20/15,Sally,
1199*D,Betula,nigra,,1,13-SE,Y,45.72,41.97,6/15/15,"Silvia, Ailene, Sally",7/20/15,Sally,
1199*J,Betula,nigra,,1,13-NE,Y,47.88,48.55,6/15/15,"Silvia, Ailene, Sally",7/20/15,Sally,
1251-79*A,Betula,nigra,,1,13-SE,Y,48.83,43.02,6/15/15,"Silvia, Ailene, Sally",7/20/15,Sally,
1251-79*B,Betula,nigra,,1,13-SE,Y,45.02,50.15,6/15/15,"Silvia, Ailene, Sally",7/20/15,Sally,
20095*A,Carya,glabra,,1,18-SE,Y,69.08,69.62,6/16/15,"Silvia, Ailene",7/28/15,Sally,
20098*A,Carya,glabra,,1,25-SW,Y,65.22,,6/16/15,"Silvia, Ailene",7/28/15,Sally,couldn't shoot top
20101*A,Carya,glabra,,1,14-NE,Y,,,6/16/15,"Silvia, Ailene",,,
2019*B,Carya,glabra,,1,25-SW,Y,55.23,59.16,6/16/15,"Silvia, Ailene",7/30/15,silvia,
2019*C,Carya,glabra,,1,25-SW,Y,78.02,81.64,6/16/15,"Silvia, Ailene",7/30/15,silvia,
2019*I,Carya,glabra,,1,25-SW,Y,71.48,74.13,6/16/15,"Silvia, Ailene",7/30/15,silvia,
2019*O,Carya,glabra,,1,25-SW,Y,67.71,68.71,6/16/15,"Silvia, Ailene",7/30/15,silvia,
2019*R,Carya,glabra,,1,25-SW,Y,53.89,54.17,6/16/15,"Silvia, Ailene",7/28/15,Sally,
2019*S,Carya,glabra,,1,25-SW,Y,71.19,73.02,6/16/15,"Silvia, Ailene",7/28/15,Sally,top unclear
6990*A,Carya,glabra,,1,25-SW,Y,71.57,69.42,6/16/15,"Silvia, Ailene",7/28/15,Sally,
7873*A,Carya,glabra,,1,19-NW,Y,72.01,64.59,,,,,
8188*A,Carya,glabra,,1,25-SW,N,79.32,,6/16/15,"Silvia, Ailene",7/30/15,silvia,top unclear
12907*B,Carya,ovata,,1,19-NW,N,75.14,70.62,6/15/15,"Silvia, Ailene, Sally",7/28/15,Sally,
12907*D,Carya,ovata,,1,19-NW,Y,69.27,,6/15/15,"Silvia, Ailene, Sally",7/28/15,Sally,
