"TreeName","Site","Species","ACC_NUM","ABBREV_NAME","COUNTRY_FULL","SUB_CNT1","SUB_CNT2","SUB_CNT3","LOCALITY","LAT_DEGREE","LAT_MINUTE","LAT_SECOND","LAT_DIR","LONG_DEGREE","LONG_MINUTE","LONG_SECOND","LONG_DIR","ALTITUDE","ALTITUDE_UNIT","DESCRIPTION","COLLECTION_MISC"
"10645*A","Arnold Arboretum","Abies_koreana","10645","A. koreana","Korea, Republic of","","","","near summit of Hallasan; abundant over 1000 m","","",NA,"","","",NA,"","","","","Small bushy tree 15 - 35 ft x 2 ft; branches and habit neat, rather broad and symmetrical branches slender, shoots with sparse gray pubescence or glabrous, very pale bark gray, with no resin pustules but with prominent transverse lenticles, bark often wine colored but the snow made it difficult to make sure of bark color. Cones with little or no resin and reflexed chartaceous bract."
"8133*A","Arnold Arboretum","Abies_nephrolepis","8133","A. nephro.","Country Unknown","","","","Korea/Japan","","",NA,"","","",NA,"","","","",""
"1664-81*B","Arnold Arboretum","Abies_nordmanniana","1664-81","A. nord. ssp. equi-trojani","Turkey","","Mt. Ida","","O. Kazdaglari, Gurgen Serisi, Ardicbasi, Yedi Kardesler","","",NA,"","","",NA,"","1150-1200","M","","N. E. exposure"
"779-65*A","Arnold Arboretum","Abies_nordmanniana","779-65","A. nord. ssp. equi-trojani","Turkey","","","","Kaz Dagh (Mt. Ida).","","",NA,"","","",NA,"","1200-1250","M","","These seeds were collected by an officer of the forest department in Canakkale, Turkey. The observations were made by Prof. C. von Regel and Dr. Adil Pamukcuoghe."
"521-28*A","Arnold Arboretum","Abies_xborisii-regis","521-28","A. x borisii-regis","Greece","","","","","","",NA,"","","",NA,"","","","",""
"827-27*A","Arnold Arboretum","Abies_xborisii-regis","827-27","A. x borisii-regis","Greece","","","","","","",NA,"","","",NA,"","","","",""
"827-27*B","Arnold Arboretum","Abies_xborisii-regis","827-27","A. x borisii-regis","Greece","","","","","","",NA,"","","",NA,"","","","",""
"6995*A","Arnold Arboretum","Picea_purpurea","6995","Pic. purpurea","China","W. Sichuan (W. Szechuan)","Sungpan Ting","","","","",NA,"","","",NA,"","","","",""
"292-80*A","Arnold Arboretum","Calocedrus_decurrens","292-80","Calo. decurr.","United States","Oregon","","","","","",NA,"","","",NA,"","","","",""
"4000*A","Arnold Arboretum","Calocedrus_decurrens","4000","Calo. decurr.","United States","Oregon","","","","","",NA,"","","",NA,"","","","","wild collected at the request of C.S. Sragent (see archives)"
"4000*D","Arnold Arboretum","Calocedrus_decurrens","4000","Calo. decurr.","United States","Oregon","","","","","",NA,"","","",NA,"","","","","wild collected at the request of C.S. Sragent (see archives)"
"4000*E","Arnold Arboretum","Calocedrus_decurrens","4000","Calo. decurr.","United States","Oregon","","","","","",NA,"","","",NA,"","","","","wild collected at the request of C.S. Sragent (see archives)"
"220-60*B","Arnold Arboretum","Cedrus_libani","220-60","Ced. libani","Turkey","","Sutlugen","","Cin Huseyin","","",NA,"","","",NA,"","1500","M","","name of the exploitation - Kas; the number of the stand - 2; number of the section - 19-32; exposition - south; name of the series Karacay-Karadag; 60 boxed"
"220-60*C","Arnold Arboretum","Cedrus_libani","220-60","Ced. libani","Turkey","","Sutlugen","","Cin Huseyin","","",NA,"","","",NA,"","1500","M","","name of the exploitation - Kas; the number of the stand - 2; number of the section - 19-32; exposition - south; name of the series Karacay-Karadag; 60 boxed"
"220-60*D","Arnold Arboretum","Cedrus_libani","220-60","Ced. libani","Turkey","","Sutlugen","","Cin Huseyin","","",NA,"","","",NA,"","1500","M","","name of the exploitation - Kas; the number of the stand - 2; number of the section - 19-32; exposition - south; name of the series Karacay-Karadag; 60 boxed"
"220-60*F","Arnold Arboretum","Cedrus_libani","220-60","Ced. libani","Turkey","","Sutlugen","","Cin Huseyin","","",NA,"","","",NA,"","1500","M","","name of the exploitation - Kas; the number of the stand - 2; number of the section - 19-32; exposition - south; name of the series Karacay-Karadag; 60 boxed"
"448-68*A","Arnold Arboretum","Cedrus_libani","448-68","Ced. libani","","Turkey","","Sutlugen","","Cin Huseyin","",NA,"","","",NA,"","","1500","M",""
"4697*G","Arnold Arboretum","Cedrus_libani","4697","Ced. libani","Turkey","","","","Taurus Mountains, ca. 1900 m","39","",NA,"N","27","",NA,"E","1900","M","","Only a few days ago did I manage to obtain, after several futile attempts, 50 kilos of cones with good seeds. Since it was necessary to make a special trip, use many pack animals, and spend eight days of time for this, I am certain that you will not find the fee of 60 Mark German currency too high. Letter from Walter Siehe to C. S. Sargent, 18 November, 1900"
"4697*I","Arnold Arboretum","Cedrus_libani","4697","Ced. libani","Turkey","","","","Taurus Mountains, ca. 1900 m","39","",NA,"N","27","",NA,"E","1900","M","","Only a few days ago did I manage to obtain, after several futile attempts, 50 kilos of cones with good seeds. Since it was necessary to make a special trip, use many pack animals, and spend eight days of time for this, I am certain that you will not find the fee of 60 Mark German currency too high. Letter from Walter Siehe to C. S. Sargent, 18 November, 1900"
"4697*M","Arnold Arboretum","Cedrus_libani","4697","Ced. libani","Turkey","","","","Taurus Mountains, ca. 1900 m","39","",NA,"N","27","",NA,"E","1900","M","","Only a few days ago did I manage to obtain, after several futile attempts, 50 kilos of cones with good seeds. Since it was necessary to make a special trip, use many pack animals, and spend eight days of time for this, I am certain that you will not find the fee of 60 Mark German currency too high. Letter from Walter Siehe to C. S. Sargent, 18 November, 1900"
"4697*O","Arnold Arboretum","Cedrus_libani","4697","Ced. libani","Turkey","","","","Taurus Mountains, ca. 1900 m","39","",NA,"N","27","",NA,"E","1900","M","","Only a few days ago did I manage to obtain, after several futile attempts, 50 kilos of cones with good seeds. Since it was necessary to make a special trip, use many pack animals, and spend eight days of time for this, I am certain that you will not find the fee of 60 Mark German currency too high. Letter from Walter Siehe to C. S. Sargent, 18 November, 1900"
"4697*P","Arnold Arboretum","Cedrus_libani","4697","Ced. libani","Turkey","","","","Taurus Mountains, ca. 1900 m","39","",NA,"N","27","",NA,"E","1900","M","","Only a few days ago did I manage to obtain, after several futile attempts, 50 kilos of cones with good seeds. Since it was necessary to make a special trip, use many pack animals, and spend eight days of time for this, I am certain that you will not find the fee of 60 Mark German currency too high. Letter from Walter Siehe to C. S. Sargent, 18 November, 1900"
"13047*A","Arnold Arboretum","Chamaecyparis_thyoides","13047","Chamae. thyoides","United States","Massachusetts","","Readville","","","",NA,"","","",NA,"","","","",""
